KIDEN,city,region,price_index_no_rent,price_index_with_rent,gross_salaries,net_salaries,work_hours_year,paid_vacations_year,gross_buying_power,net_buying_power,bread_kg_work_time,burger_work_time,food_expenses,shopping_basket,women_apparel,men_apparel,bed4_apt_furnished,bed3_apt_unfurnished,rent_cost,home_appliances,public_transportation,taxi,car,restaurant,hotel_night,various_services,tax_pct_gross_salary,net_hourly_salary,teacher,bus_driver,mechanic,construction_worker,metalworker,cook_chef,factory_manager,engineer,bank_clerk,executive_secretary,salesperson,textile_worker
Amsterdam91,Amsterdam,Central Europe,65.6,65.7,56.9,49,1714,31.9,86.7,74.8,9,31,303,1145,389,663,1400,723,340,1822,1.27,7.24,13867,25,234,275,31.4,7.84,15608,17819,11924,12661,14536,14402,25924,24786,14871,14871,11857,10852
Athenes91,Athens,Southern Europe,53.8,55.6,30.2,30.4,1792,23.5,56.1,56.4,9,33,267,940,308,536,931,690,450,2391,0.27,1.81,19628,17,180,167,19.9,4.89,7972,9445,8574,9847,14402,14068,13800,14804,9914,6900,4555,5761
Bogota91,Bogota,South America,37.9,39.3,10.1,11.5,2152,17.4,26.6,30.3,23,98,137,661,161,208,1407,623,160,1768,0.09,1.56,11991,9,108,107,6.2,1.81,2144,2412,4354,1206,4823,13934,12192,12259,2345,5024,2278,2814
Bombay91,Mumbai,South Asia and Australia,30.3,39.9,6,5.3,2052,30.6,19.9,17.6,27,131,116,529,54,248,2800,1869,190,1789,0.09,1.17,9110,11,158,74,21.1,0.87,1005,1340,1809,737,2479,2412,3751,2880,2345,1809,1072,1206
Bruxelles91,Brussels,Central Europe,73.8,72.2,68.2,50.5,1708,24.6,92.4,68.4,12,31,316,1288,375,837,1239,489,460,2445,1.11,8.35,12929,20,236,255,40.6,8.11,14001,14068,10450,12192,17350,19159,31016,24518,19293,13800,10718,10182
BuenosAires91,BuenosAires,South America,56.1,55.9,12.2,12.5,1971,16.2,21.7,22.2,26,105,192,980,315,616,1360,824,230,2673,0.24,3.44,21905,15,227,208,16.5,2.01,1876,2747,3885,1742,4689,5895,36174,12192,6900,5962,2412,2278
Cairo91,Cairo,Africa,37.1,47.2,NA,NA,NA,NA,NA,NA,NA,NA,216,648,174,188,1380,924,920,1628,NA,1.53,7704,21,131,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracas91,Caracas,South America,61,61.2,9.3,10.9,2041,21.1,15.2,17.8,75,103,293,1064,502,656,1373,978,260,2298,0.2,3.17,12594,17,157,248,7.9,1.74,2345,1072,4153,1072,4555,12929,11120,4957,2613,4890,2479,1407
Chicago91,Chicago,North America,73.9,78.2,71.4,61.9,1924,11.8,96.7,83.8,18,18,347,1290,784,1186,1775,797,880,1480,1.13,7.65,16278,36,241,255,31.1,9.91,24116,25523,21168,22374,26259,21436,31685,37781,15675,17953,10383,10986
Copenhague91,Copenhagen,Northern Europe,91.3,89.6,83.3,62.9,1717,25,91.2,68.9,4,39,402,1594,529,857,1025,596,540,2479,2.47,9.71,24786,23,242,335,40,10.05,17551,16613,18623,16948,19628,19962,28336,30011,18891,17551,13532,15943
Dublin91,Dublin,Northern Europe,76,74.2,45.5,41.4,1759,22.9,59.9,54.5,12,29,316,1326,328,482,1072,918,340,2345,1.19,8.02,17082,36,178,261,27.3,6.63,17953,12192,10115,9244,14469,9512,26125,26259,16211,12661,10048,8441
Dusseldorf91,Dusseldorf,Central Europe,78.5,81.5,69.4,60.2,1693,29.6,88.5,76.7,12,22,320,1370,496,750,1588,971,780,2117,1.49,6.87,13867,21,198,281,31.1,9.65,26527,19427,14135,15005,19962,20297,45284,43408,20967,19025,9378,10986
Frankfurt91,Frankfurt,North America,74.5,79.8,72.2,60.4,1650,30.1,97,81.2,13,22,316,1300,335,790,1487,744,990,2057,1.37,5.73,16010,18,283,295,33.6,9.65,25857,17886,12795,13867,20766,12527,58213,30011,19962,18087,10249,12326
Geneve91,Geneva,Central Europe,95.9,94,93.3,90.3,1880,22.7,97.2,94.2,10,21,502,1675,395,703,1943,1065,560,2927,1.21,11.05,13800,27,248,348,22.5,14.47,43274,39523,26460,20632,31551,32154,43475,46222,35705,27063,18556,16144
Helsinki91,Helsinki,Northern Europe,113.6,108.3,75.5,66.6,1667,28.6,66.4,58.6,27,40,603,1984,610,1092,1199,918,680,2887,1.8,8.76,25456,29,234,409,29.4,10.65,21034,20297,19360,15608,20766,18824,32020,26192,18154,16881,13130,14335
Hongkong91,Hongkong,East Asia,63.8,98.7,23.7,27.8,2375,10.9,37.1,43.6,14,24,299,1113,368,1025,6337,5808,1350,1621,0.78,3.17,21704,21,230,228,5.8,4.42,18690,9177,9847,6632,,13331,25589,16747,11924,11053,8641,6632
Houston91,Houston,North America,71.9,70.6,45.9,46.3,1978,9,63.8,64.3,10,27,386,1255,523,757,1199,549,400,1614,0.85,6.55,12996,26,145,261,20.3,7.44,14804,13130,13532,14335,15340,16613,21302,22700,8842,15005,9110,7905
Jakarta91,Jakarta,South Asia and Australia,43.6,63.8,NA,NA,NA,NA,NA,NA,NA,NA,214,761,134,328,3470,3095,940,1628,0.11,1.24,9847,14,188,121,,,804,1407,1139,603,402,7034,13666,4555,2747,2947,1072,402
Johannesburg91,Johanesburg,Africa,51.1,52.2,25,24,1945,19.4,48.9,47,7,35,205,892,208,569,589,442,440,2767,1,5.01,12527,17,129,161,19.1,3.82,9579,7034,9847,3081,12527,8842,17417,16479,7168,9110,6364,2680
KualaLumpur91,KualaLumpur,South Asia and Australia,43.5,43.3,9,9.9,2167,17.6,10.6,22.7,40,57,239,760,100,288,965,509,170,1588,0.23,0.9,10115,9,127,107,10.7,1.61,3952,3885,3148,2479,3952,5091,17015,9914,3550,4019,1608,1943
Lagos91,Lagos,Africa,45.2,49.3,2.3,2.7,1786,22.8,5.1,6,216,130,305,788,161,188,1876,1172,280,2412,0.7,4.69,14536,18,85,107,8.4,0.4,670,536,335,335,536,603,3282,1608,1340,2412,,402
Lisboa91,Lisbon,Southern Europe,56.2,58.4,17.9,18.8,1742,22,31.9,33.6,23,,232,980,415,831,1313,523,NA,1929,0.98,5.9,10182,13,131,181,14.4,3.01,8106,6699,4354,3416,5962,9311,10048,13532,5627,5426,3617,3483
London91,London,Northern Europe,84.2,93.6,45.5,46.2,1737,24.5,54.1,54.9,11,36,301,1470,656,717,2023,1681,1350,1762,1.86,7.58,17484,28,365,315,18.7,7.37,21101,15139,13867,10852,15139,10383,26058,19360,15139,15608,8441,8441
LosAngeles91,LosAngeles,North America,79.8,91.5,70.7,65.2,2068,10,88.6,81.6,15,20,389,1393,469,871,2499,1702,1200,1735,1.1,8.35,16747,25,235,295,25.4,10.45,29475,24719,20364,23714,31083,21369,33762,35638,16814,20230,17551,13666
Luxembourg91,Luxembourg,Central Europe,71.1,75.7,69,71.1,1768,29.5,97,100,9,20,322,1241,288,496,1393,723,980,2304,0.84,9.48,11187,19,182,221,18.3,11.39,36174,33427,15139,13599,25656,23111,52184,49102,31886,18958,14135,14536
Madrid91,Madrid,Southern Europe,93.8,100.7,49.8,50,1710,32,53.1,53.3,10,54,410,1638,502,1125,1842,1380,1010,3778,1.06,3.92,17886,74,323,335,18.3,7.97,17886,14202,14536,8708,14938,20498,20498,26527,21034,18355,11321,7637
Manila91,Manila,South Asia and Australia,40,43.4,3.7,4,2268,16.9,9.2,9.9,86,165,226,698,127,228,1742,583,300,1708,0.3,1.57,14737,15,196,94,13.7,0.6,1675,1139,1273,1005,1340,2947,3885,2947,2479,1675,1005,1273
