city,region,price_index_no_rent,price_index_with_rent,gross_salaries,net_salaries,work_hours_year,paid_vacations_year,gross_buying_power,net_buying_power,bread_kg_work_time,burger_work_time,food_expenses,shopping_basket,women_apparel,men_apparel,bed4_apt_furnished,bed3_apt_unfurnished,rent_cost,home_appliances,public_transportation,taxi,car,restaurant,hotel_night,various_services,tax_pct_gross_salary,net_hourly_salary,teacher,bus_driver,mechanic,construction_worker,metalworker,cook_chef,factory_manager,engineer,bank_clerk,executive_secretary,salesperson,textile_worker
AbuDhabi,Middle East,71.3,78.1,29.9,38,2100,28.9,42,53.3,6,38,336,1388,930,1750,2710,920,920,1620,NA,1.36,12800,33,239,290,0,6.5,19500,11400,9200,3500,6800,33900,95000,59700,47800,14700,14700,4900
Amsterdam,Central Europe,68.8,70.3,61.4,53.7,1792,27.5,89.3,78,11,28,324,1339,410,710,1590,1060,520,1880,1.56,10.58,17200,26,286,330,31.5,9.2,23800,24900,14300,13000,22000,15600,33600,32600,22500,17000,12700,13700
Athens,Southern Europe,54.4,56.7,27.7,28.5,1775,24.5,50.9,52.4,17,42,275,1059,370,900,1270,770,440,2310,0.3,2.12,23700,20,243,220,18.9,4.9,10100,11300,6000,9700,9600,11000,12300,13000,11000,8900,5800,6200
Bangkok,South Asia and Australia,64.6,70.1,9.5,11.2,2272,8.8,14.6,17.3,69,83,325,1258,290,540,2820,2170,320,3890,0.36,3.66,29600,28,190,230,5.1,2,4100,3400,2600,1700,6600,8500,27300,17900,12800,7100,1700,1900
Bogota,South America,52.8,54.4,13.5,16,2154,18.7,25.5,30.2,32,72,258,1028,260,470,1900,900,250,1950,0.29,3.01,17500,13,204,170,4.9,2.8,4100,4100,6500,1700,5500,11600,31500,19000,8400,9100,3100,5100
Mumbai,South Asia and Australia,30.4,38.8,3.9,4.7,1990,39.3,12.7,15.5,29,92,113,591,120,180,2460,1830,300,2070,0.1,0.45,7000,12,169,100,1.6,0.8,1600,1700,1300,800,1400,2700,4300,2100,1800,2200,1100,1300
Brussels,Central Europe,71.8,72,61.4,49.5,1725,24.5,85.5,68.9,12,36,324,1398,390,890,1260,640,630,2830,1.44,8.22,18900,28,314,320,36.1,8.6,16000,14900,12200,13200,18100,19000,30300,24600,20600,14900,12100,11800
Budapest,Eastern Europe,52.8,43.4,7.7,6.8,1980,22.1,17.9,15.8,29,128,181,842,230,330,530,450,310,1990,0.24,3.19,15100,10,148,120,28.6,1.2,2100,3000,2200,1900,2600,4300,6400,4200,4200,2400,1800,1700
BuenosAires,South America,80.4,77,25.8,27.4,2066,13.2,32.1,34,30,66,370,1565,450,990,1020,720,420,4060,0.72,5.99,14900,37,342,400,16.8,4.7,4500,4500,8200,4500,6600,10900,30200,24000,33500,18500,10800,6000
Cairo,Africa,48.7,59.5,NA,NA,NA,NA,NA,NA,NA,NA,281,948,270,410,1770,1180,1180,1930,NA,1.48,15400,31,183,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
