KIDEN	Numéro de la plaque	Type de rayonnement	Dose de rayonnement	Filtre de protection	Poids	Couleur	Ternissement	Craquelure	Epaississement	Rides	Total du score aspect	Sèchage	Taux de Chromo-A	Réplique à T4	Taux de Chromo-B	Taux de Chromo-C	Surface rigidité	Surface concavité	Surface diamétralité	Score surface total	Elasticité interne	Cohérence interne	Coloration interne	Gonflement interne	Score total interne	Total Surface+Interne	Périodes	Type de rayonnement	Type de rayonnement * dose	Groupes	Filtre * Dose	Type de rayonnement * Périodes	Dose de rayonnement * Périodes	Filtre de protection * Périodes	Type de rayonnement * dose * Périodes	Groupes * Périodes
 001	3.00	Témoin	Témoin	Témoin	20.00	1.00	1.00	1.00	1.00	1.00	5.00	10.50	0.60														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 002	4.00	Témoin	Témoin	Témoin	23.00	1.00	1.00	1.00	1.00	1.00	5.00	12.00	0.60														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 003	8.00	Témoin	Témoin	Témoin	23.50	1.00	1.00	1.00	1.00	1.00	5.00	12.60	0.60														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 004	33.00	Témoin	Témoin	Témoin	23.00	1.00	1.00	1.00	1.00	1.00	5.00	11.20	0.80														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 005	38.00	Témoin	Témoin	Témoin	24.00	1.00	1.00	1.00	1.00	1.00	5.00	9.80	0.80														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 006	44.00	Témoin	Témoin	Témoin	22.00	1.00	1.00	1.00	1.00	1.00	5.00	6.10	0.70														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 007	49.00	Témoin	Témoin	Témoin	18.00	1.00	1.00	1.00	1.00	1.00	5.00	8.10	0.60														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 008	54.00	Témoin	Témoin	Témoin	24.00	1.00	1.00	1.00	1.00	1.00	5.00	8.90	0.90														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 009	57.00	Témoin	Témoin	Témoin	23.50	1.00	1.00	1.00	1.00	1.00	5.00	10.40	0.60														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 010	61.00	Témoin	Témoin	Témoin	18.50	1.00	1.00	1.00	1.00	1.00	5.00	7.40	0.60														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 011	63.00	Témoin	Témoin	Témoin	23.00	1.00	1.00	1.00	1.00	1.00	5.00	7.30	0.70														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 012	65.00	Témoin	Témoin	Témoin	24.00	1.00	1.00	1.00	1.00	1.00	5.00	10.30	0.60														Temps T0	Témoin	Témoin	Témoin	Non concerné	Tém * T0	Tém * T0	Tém * T0	Tém * T0	Tém * T0
 013	19.00	Rayon V100	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	1.00	1.00	5.00	7.90	0.60														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 014	23.00	Rayon V100	Dose 1/2	Non protégé	23.00	1.00	1.00	1.00	1.00	1.00	5.00	12.40	0.60														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 015	26.00	Rayon V100	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	1.00	1.00	5.00	10.30	0.60														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 016	30.00	Rayon V100	Dose 1/2	Non protégé	23.00	1.00	1.00	1.00	1.00	1.00	5.00	10.70	0.80														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
