"","city","wgt","disto","coord1","coord2","contr1","contr2","cosqr1","cosqr2"
"1","AbuDhabi",1.96,55.78,6.11,2.41,16.28,6.65,0.67,0.1
"2","Amsterdam",1.96,6.4,-1.67,1.3,1.22,1.93,0.44,0.26
"3","Athens",1.96,6.94,-1.62,0.77,1.15,0.68,0.38,0.09
"4","Bangkok",1.96,36.42,4.45,-0.44,8.65,0.22,0.54,0.01
"5","Bogota",1.96,19.81,2.85,-1.18,3.56,1.59,0.41,0.07
"6","Mumbai",1.96,6.23,0.39,0.27,0.07,0.09,0.02,0.01
"7","Brussels",1.96,2.32,-0.92,0.25,0.37,0.07,0.36,0.03
"8","Budapest",1.96,2.73,-0.15,0.17,0.01,0.03,0.01,0.01
"9","BuenosAires",1.96,38.32,4.21,-0.04,7.76,0,0.46,0
"11","Caracas",1.96,37.27,4.46,-0.03,8.68,0,0.53,0
"12","Chicago",1.96,12.31,-2.61,-0.86,2.98,0.85,0.55,0.06
"13","Copenhagen",1.96,5.26,-1.53,-0.85,1.02,0.83,0.44,0.14
"14","Dublin",1.96,3.58,-0.85,1.22,0.31,1.7,0.2,0.42
"15","Dusseldorf",1.96,4.51,-0.99,1.6,0.42,2.93,0.22,0.57
"16","Frankfurt",1.96,3.19,-0.51,1.07,0.11,1.3,0.08,0.36
"17","Geneva",1.96,4.86,-1.51,0.98,0.99,1.1,0.47,0.2
"18","Helsinki",1.96,3.53,-1.55,0.26,1.05,0.08,0.68,0.02
"19","Hongkong",1.96,28,0.64,3.4,0.18,13.18,0.01,0.41
"20","Houston",1.96,5.56,-1.59,-0.8,1.11,0.74,0.46,0.12
"21","Jakarta",1.96,23.97,0.32,-4.12,0.05,19.36,0,0.71
"22","Johannesburg",1.96,8.74,0.07,-1.51,0,2.61,0,0.26
"24","Lagos",1.96,11.51,-0.84,-1.86,0.31,3.95,0.06,0.3
"25","Lisbon",1.96,3.02,-0.65,0.31,0.19,0.11,0.14,0.03
"26","London",1.96,5.22,-1.81,-0.28,1.44,0.09,0.63,0.01
"27","LosAngeles",1.96,14.72,-3.01,-0.24,3.95,0.07,0.61,0
"28","Luxembourg",1.96,15.85,-1.12,2.89,0.54,9.56,0.08,0.53
"29","Madrid",1.96,1.99,-0.07,0.05,0,0,0,0
"30","Manama",1.96,30.51,4.09,0.75,7.32,0.64,0.55,0.02
"31","Manila",1.96,7.96,1.95,0.35,1.65,0.14,0.48,0.02
"32","Mexico",1.96,17.53,0.42,-1.71,0.08,3.35,0.01,0.17
"33","Milan",1.96,4.62,-1.2,0.44,0.63,0.23,0.31,0.04
"34","Montreal",1.96,4.21,-1.75,-0.39,1.34,0.17,0.73,0.04
"35","Nairobi",1.96,39.3,4.67,-2.27,9.5,5.89,0.55,0.13
"36","NewYork",1.96,3.79,-1.51,-0.17,0.99,0.03,0.6,0.01
"37","Nicosia",1.96,5.49,-1.2,0.8,0.63,0.73,0.26,0.12
"38","Oslo",1.96,4.79,-1.54,-0.14,1.04,0.02,0.5,0
"39","Panama",1.96,17.66,2.32,0.9,2.36,0.93,0.31,0.05
"40","Paris",1.96,5.14,0.81,1.28,0.29,1.86,0.13,0.32
"41","Prague",1.96,7.22,-0.6,-1.4,0.16,2.23,0.05,0.27
"42","RiodeJaneiro",1.96,25.04,3.07,0.28,4.11,0.09,0.38,0
"43","SaoPaulo",1.96,9.06,0.95,-2,0.4,4.58,0.1,0.44
"44","Seoul",1.96,2.24,-0.79,0.02,0.28,0,0.28,0
"45","Singapore",1.96,14.77,-0.28,-1.14,0.03,1.48,0.01,0.09
"46","Stockholm",1.96,8.11,-1.9,0.29,1.57,0.1,0.44,0.01
"47","Sidney",1.96,3.59,-0.66,0.4,0.19,0.19,0.12,0.05
"48","Taipei",1.96,7.9,-1.4,-1.13,0.86,1.46,0.25,0.16
"49","Tel-Aviv",1.96,6.51,-0.28,-1.53,0.03,2.68,0.01,0.36
"50","Tokyo",1.96,2.5,-0.84,0.38,0.31,0.17,0.28,0.06
"51","Toronto",1.96,7,-2.38,-0.24,2.47,0.06,0.81,0.01
"52","Vienna",1.96,1.93,-1.02,-0.21,0.45,0.05,0.54,0.02
"53","Zurich",1.96,7.08,-1.46,1.68,0.92,3.21,0.3,0.4
