KIDEN	Année	Region du monde	I_prix sans loyer	I_prix avec loyer	I_salaires bruts	I_salaires nets	Heures travail annuelles	Vacances annuelles payees	Pouvoir d'achat brut	Pouvoir d'achat net	Kg pain=temps de travail	Hamb=temps de travail	Denrées alimentaires	Panier complet	Dames vetements	Hommes vetements	4pièces appart meublé	3pièces appart non meublé	Loyer normale	Appareils ménagers	Bus tram ou metro	Taxi	Voitures	Restaurant	Nuit d'hôtel	Services diverses	Impots et cotisations sociales en % salaire brut	Salaire horaire net	Instituteur	Chauffeur d'autobus	Mécanicien autos	Manoeuvre du bâtiment	Tourneur	Cuisinier chef	Chef de service	Ingeniéur	Caissier de banque	Secrétaire direction	Vendeuse	Ouvrière du textile	revenu annuel net moyen	Axe factoriel revenus 1	Axe factoriel revenus 2	Axe factoriel revenus 3	Axe factoriel revenus 4	Axe factoriel revenus 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy	Inegalité des salaires	Manuels qualifiées	Femenins non qualifiées	Axe factoriel rapports 1	Axe factoriel rapports 2	Axe factoriel rapports 3	Axe factoriel rapports 4	Axe factoriel rapports 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy
AbuDhabi91	Edition 1991	PROCHE ORIENT																																								0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
AbuDhabi94	edition 1994	PROCHE ORIENT	71.30	78.10	29.90	38.00	2100.00	28.90	42.00	53.30	6.00	38.00	336.00	1388.00	930.00	1750.00	2710.00	920.00	920.00	1620.00		1.36	12800.00	33.00	239.00	290.00	0.00	6.50	19500.00	11400.00	9200.00	3500.00	6800.00	33900.00	95000.00	59700.00	47800.00	14700.00	14700.00	4900.00	13650.00	-2.17	4.61	0.75	-0.42	0.18	1.43	0.84	0.67	0.26	0.50	2.48	6.96	4.37	3.50	1.08	1.08	0.36	6.70	0.59	0.72	6.11	-2.41	0.99	-1.89	1.98	1.4138     1.45	0.8255     0.84	0.5770     0.68	0.1330     0.26	0.1312     0.75	2.2949     2.48	6.5651     9.13	3.9393     4.37	3.2258     3.50	1.0769     1.11	1.0769     1.13	0.1312     0.36
Amsterdam91	Edition 1991	CENTRAL EUROPE	65.60	65.70	56.90	49.00	1714.00	31.90	86.70	74.80	9.00	31.00	303.00	1145.00	389.00	663.00	1400.00	723.00	340.00	1822.00	1.27	7.24	13867.00	25.00	234.00	275.00	31.40	7.84	15608.00	17819.00	11924.00	12661.00	14536.00	14402.00	25924.00	24786.00	14871.00	14871.00	11857.00	10852.00	13434.00	-0.19	-0.46	-0.07	-0.22	-0.17	1.16	1.33	0.89	0.94	1.08	1.07	1.93	1.85	1.11	1.11	0.88	0.81	1.12	0.98	0.85	-1.34	-0.82	0.91	0.42	0.11	1.1618     1.20	1.2868     1.33	0.8876     0.90	0.9425     0.96	1.0820     1.09	1.0602     1.07	1.9101     1.94	1.8450     1.88	1.0949     1.11	1.1070     1.12	0.8820     0.90	0.8074     0.83
Amsterdam94	edition 1994	CENTRAL EUROPE	68.80	70.30	61.40	53.70	1792.00	27.50	89.30	78.00	11.00	28.00	324.00	1339.00	410.00	710.00	1590.00	1060.00	520.00	1880.00	1.56	10.58	17200.00	26.00	286.00	330.00	31.50	9.20	23800.00	24900.00	14300.00	13000.00	22000.00	15600.00	33600.00	32600.00	22500.00	17000.00	12700.00	13700.00	16486.00	-1.58	-0.36	-0.58	-0.22	0.12	1.44	1.51	0.87	0.79	1.33	0.95	2.04	1.98	1.36	1.03	0.77	0.83	1.27	1.10	0.80	-1.67	-1.30	-0.61	0.45	0.49	1.4138     1.45	1.4220     1.51	0.8655     0.87	0.7819     0.79	1.3147     1.34	0.8712     0.95	1.9935     2.04	1.9597     1.98	1.3495     1.36	1.0202     1.03	0.7619     0.77	0.8074     0.83
Athenes91	Edition 1991	SUD EUROPE	53.80	55.60	30.20	30.40	1792.00	23.50	56.10	56.40	9.00	33.00	267.00	940.00	308.00	536.00	931.00	690.00	450.00	2391.00	0.27	1.81	19628.00	17.00	180.00	167.00	19.90	4.89	7972.00	9445.00	8574.00	9847.00	14402.00	14068.00	13800.00	14804.00	9914.00	6900.00	4555.00	5761.00	8763.00	1.81	-0.55	0.41	0.09	0.30	0.91	1.08	0.98	1.12	1.64	1.61	1.57	1.69	1.13	0.79	0.52	0.66	1.17	1.31	0.59	-2.07	1.45	-1.68	-0.35	-0.68	0.8479     0.91	1.0658     1.09	0.9784     1.00	1.1152     1.13	1.6435     1.88	1.5613     1.69	1.5623     1.58	1.6746     1.72	1.1088     1.14	0.7567     0.83	0.5198     0.54	0.6574     0.66
Athenes94	edition 1994	SUD EUROPE	54.40	56.70	27.70	28.50	1775.00	24.50	50.90	52.40	17.00	42.00	275.00	1059.00	370.00	900.00	1270.00	770.00	440.00	2310.00	0.30	2.12	23700.00	20.00	243.00	220.00	18.90	4.90	10100.00	11300.00	6000.00	9700.00	9600.00	11000.00	12300.00	13000.00	11000.00	8900.00	5800.00	6200.00	8698.00	1.91	-0.51	-0.08	0.17	-0.04	1.16	1.30	0.69	1.12	1.10	1.26	1.41	1.49	1.26	1.02	0.67	0.71	0.83	0.90	0.69	-1.62	-0.77	0.04	-0.55	-1.01	1.1221     1.16	1.2868     1.33	0.6898     0.75	1.1152     1.13	1.0959     1.10	1.2568     1.27	1.4141     1.45	1.4946     1.54	1.2647     1.31	1.0202     1.03	0.6595     0.68	0.7037     0.71
Bangkok91	Edition 1991	SUD ASIE ET AUSTRALI																																								0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
Bangkok94	edition 1994	SUD ASIE ET AUSTRALI	64.60	70.10	9.50	11.20	2272.00	8.80	14.60	17.30	69.00	83.00	325.00	1258.00	290.00	540.00	2820.00	2170.00	320.00	3890.00	0.36	3.66	29600.00	28.00	190.00	230.00	5.10	2.00	4100.00	3400.00	2600.00	1700.00	6600.00	8500.00	27300.00	17900.00	12800.00	7100.00	1700.00	1900.00	4544.00	2.97	0.82	-0.22	-0.10	0.25	0.90	0.75	0.57	0.37	1.45	1.87	6.01	3.94	2.82	1.56	0.37	0.42	5.63	1.01	0.40	4.45	0.44	-3.34	-0.35	-0.35	0.8479     0.91	0.7467     0.76	0.1432     0.57	0.3741     0.41	1.4383     1.48	1.8098     1.92	5.4889     6.01	3.9393     4.37	2.1098     2.82	1.5089     1.72	0.3498     0.46	0.4181     0.50
Bogota91	Edition 1991	SUD AMERIQUE	37.90	39.30	10.10	11.50	2152.00	17.40	26.60	30.30	23.00	98.00	137.00	661.00	161.00	208.00	1407.00	623.00	160.00	1768.00	0.09	1.56	11991.00	9.00	108.00	107.00	6.20	1.81	2144.00	2412.00	4354.00	1206.00	4823.00	13934.00	12192.00	12259.00	2345.00	5024.00	2278.00	2814.00	3892.00	3.41	0.16	0.61	-0.09	0.34	0.55	0.62	1.12	0.31	1.24	3.58	3.13	3.15	0.60	1.29	0.59	0.72	3.27	1.18	0.65	2.50	2.67	-0.84	1.02	-1.80	0.5128     0.58	0.4712     0.68	1.1187     1.15	0.2939     0.36	1.2269     1.24	3.5392     3.64	3.0410     3.13	2.9150     3.15	0.6012     0.77	1.2395     1.35	0.5853     0.62	0.7189     0.72
Bogota94	edition 1994	SUD AMERIQUE	52.80	54.40	13.50	16.00	2154.00	18.70	25.50	30.20	32.00	72.00	258.00	1028.00	260.00	470.00	1900.00	900.00	250.00	1950.00	0.29	3.01	17500.00	13.00	204.00	170.00	4.90	2.80	4100.00	4100.00	6500.00	1700.00	5500.00	11600.00	31500.00	19000.00	8400.00	9100.00	3100.00	5100.00	6031.00	2.47	0.66	0.14	-0.31	0.26	0.68	0.68	1.08	0.28	0.91	1.92	5.22	3.15	1.39	1.51	0.51	0.85	4.94	0.99	0.68	2.85	1.18	-0.31	0.64	-1.01	0.6596     0.73	0.6798     0.74	1.0686     1.08	0.2591     0.28	0.7748     0.91	1.8098     1.92	4.4587     5.22	3.1504     3.69	1.3886     1.39	1.5089     1.72	0.4615     0.52	0.8393     0.85
